"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 4. Clerical support workers","Currency: U.S. dollars","2020",207.392,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 5. Service and sales workers","Currency: U.S. dollars","2020",185.987,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 7. Craft and related trades workers","Currency: U.S. dollars","2020",112.332,"Unreliable",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 9. Elementary occupations","Currency: U.S. dollars","2020",99.875,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Sex: Female","Occupation (ISCO-08): 0. Armed forces occupations","Currency: U.S. dollars","2020",255.715,"Unreliable",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): Total","Currency: U.S. dollars","2014",154.567,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 1. Managers","Currency: U.S. dollars","2014",302.379,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 2. Professionals","Currency: U.S. dollars","2014",183.565,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 3. Technicians and associate professionals","Currency: U.S. dollars","2014",217.07,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Average monthly earnings of employees by sex and occupation","Sex: Total","Occupation (ISCO-08): 4. Clerical support workers","Currency: U.S. dollars","2014",267.115,,,"Currency: AFG - Afghani (AFN)","Repository: ILO-STATISTICS - Micro data processing"
